Timestamp,Type,Offset,Curve,Nearest_Dist
20251219-195007,LDW,-65.9,Curving Right,N/A
20251219-195010,LDW,-74.0,Curving Right,N/A
20251219-195043,LDW,-65.9,Curving Right,N/A
20251219-195046,LDW,-67.1,Curving Right,N/A
20251219-195119,LDW,-65.9,Curving Right,N/A
20251219-195122,LDW,-67.1,Curving Right,N/A
20251219-195155,LDW,-65.9,Curving Right,N/A
20251219-195158,LDW,-67.1,Curving Right,N/A
20251219-195232,LDW,-65.9,Curving Right,N/A
20251219-195235,LDW,-67.1,Curving Right,N/A
20251219-195308,LDW,-65.9,Curving Right,N/A
20251219-195311,LDW,-67.1,Curving Right,N/A
20251219-195346,LDW,-65.9,Curving Right,N/A
20251219-195349,LDW,-67.1,Curving Right,N/A
20251219-195424,LDW,-65.9,Curving Right,N/A
20251219-195427,LDW,-67.1,Curving Right,N/A
20251219-195502,LDW,-65.9,Curving Right,N/A
20251219-195505,LDW,-70.2,Curving Right,N/A
20251219-195539,LDW,-65.9,Curving Right,N/A
20251219-195542,LDW,-74.0,Curving Right,N/A
20251219-195615,LDW,-65.9,Curving Right,N/A
20251219-195618,LDW,-67.1,Curving Right,N/A
20251219-195652,LDW,-65.9,Curving Right,N/A
20251219-195655,LDW,-67.1,Curving Right,N/A
20251219-195729,LDW,-65.9,Curving Right,N/A
20251219-195732,LDW,-67.1,Curving Right,N/A
20251219-195805,LDW,-65.9,Curving Right,N/A
20251219-195808,LDW,-60.7,Straight,N/A
20251219-195841,LDW,-65.9,Curving Right,N/A
20251219-195844,LDW,-67.1,Curving Right,N/A
20251219-195917,LDW,-65.9,Curving Right,N/A
20251219-195920,LDW,-67.1,Curving Right,N/A
20251219-195953,LDW,-65.9,Curving Right,N/A
20251219-195957,LDW,-67.1,Curving Right,N/A
20251219-200030,LDW,-65.9,Curving Right,N/A
20251219-200033,LDW,-67.1,Curving Right,N/A
20251219-200106,LDW,-65.9,Curving Right,N/A
20251219-200109,LDW,-74.0,Curving Right,N/A
20251219-200142,LDW,-65.9,Curving Right,N/A
20251219-200145,LDW,-70.2,Curving Right,N/A
20251219-200219,LDW,-65.9,Curving Right,N/A
20251219-200222,LDW,-67.1,Curving Right,N/A
20251219-200255,LDW,-65.9,Curving Right,N/A
20251219-200258,LDW,-67.1,Curving Right,N/A
20251219-200331,LDW,-65.9,Curving Right,N/A
20251219-200334,LDW,-67.1,Curving Right,N/A
20251219-200408,LDW,-65.9,Curving Right,N/A
20251219-200411,LDW,-67.1,Curving Right,N/A
20251219-200444,LDW,-65.9,Curving Right,N/A
20251219-200447,LDW,-67.1,Curving Right,N/A
20251219-200520,LDW,-65.9,Curving Right,N/A
20251219-200523,LDW,-67.1,Curving Right,N/A
20251219-200556,LDW,-65.9,Curving Right,N/A
20251219-200559,LDW,-67.1,Curving Right,N/A
20251219-200633,LDW,-65.9,Curving Right,N/A
20251219-200636,LDW,-67.1,Curving Right,N/A
20251219-200709,LDW,-65.9,Curving Right,N/A
20251219-200712,LDW,-67.1,Curving Right,N/A
20251219-200745,LDW,-65.9,Curving Right,N/A
20251219-200748,LDW,-67.1,Curving Right,N/A
20251219-200822,LDW,-65.9,Curving Right,N/A
20251219-200825,LDW,-67.1,Curving Right,N/A
20251219-200859,LDW,-65.9,Curving Right,N/A
20251219-200902,LDW,-67.1,Curving Right,N/A
20251219-200935,LDW,-65.9,Curving Right,N/A
20251219-200938,LDW,-67.1,Curving Right,N/A
20251219-201012,LDW,-65.9,Curving Right,N/A
20251219-201015,LDW,-67.1,Curving Right,N/A
20251219-201048,LDW,-65.9,Curving Right,N/A
20251219-201051,LDW,-70.2,Curving Right,N/A
20251219-201124,LDW,-65.9,Curving Right,N/A
20251219-201127,LDW,-67.1,Curving Right,N/A
20251219-201201,LDW,-65.9,Curving Right,N/A
20251219-201204,LDW,-67.1,Curving Right,N/A
20251219-201238,LDW,-65.9,Curving Right,N/A
20251219-201241,LDW,-70.2,Curving Right,N/A
20251219-201314,LDW,-65.9,Curving Right,N/A
20251219-201317,LDW,-70.2,Curving Right,N/A
20251219-201351,LDW,-65.9,Curving Right,N/A
20251219-201354,LDW,-74.0,Curving Right,N/A
20251219-201427,LDW,-65.9,Curving Right,N/A
20251219-201430,LDW,-70.2,Curving Right,N/A
20251219-201504,LDW,-65.9,Curving Right,N/A
20251219-201507,LDW,-74.0,Curving Right,N/A
20251219-201540,LDW,-65.9,Curving Right,N/A
20251219-201543,LDW,-70.2,Curving Right,N/A
20251219-201617,LDW,-65.9,Curving Right,N/A
20251219-201620,LDW,-67.1,Curving Right,N/A
20251219-201653,LDW,-65.9,Curving Right,N/A
20251219-201656,LDW,-67.1,Curving Right,N/A
20251219-201729,LDW,-65.9,Curving Right,N/A
20251219-201732,LDW,-67.1,Curving Right,N/A
20251219-201805,LDW,-65.9,Curving Right,N/A
20251219-201808,LDW,-67.1,Curving Right,N/A
20251219-201842,LDW,-65.9,Curving Right,N/A
20251219-201845,LDW,-67.1,Curving Right,N/A
20251219-201918,LDW,-65.9,Curving Right,N/A
20251219-201921,LDW,-60.7,Straight,N/A
20251219-201955,LDW,-65.9,Curving Right,N/A
20251219-201958,LDW,-67.1,Curving Right,N/A
20251219-202031,LDW,-65.9,Curving Right,N/A
20251219-202034,LDW,-67.1,Curving Right,N/A
20251219-202107,LDW,-65.9,Curving Right,N/A
20251219-202110,LDW,-67.1,Curving Right,N/A
20251219-202142,LDW,-65.9,Curving Right,N/A
20251219-202145,LDW,-70.2,Curving Right,N/A
20251219-202217,LDW,-65.9,Curving Right,N/A
20251219-202220,LDW,-67.1,Curving Right,N/A
20251219-202252,LDW,-65.9,Curving Right,N/A
20251219-202255,LDW,-67.1,Curving Right,N/A
20251219-202327,LDW,-65.9,Curving Right,N/A
20251219-202330,LDW,-67.1,Curving Right,N/A
20251219-202402,LDW,-65.9,Curving Right,N/A
20251219-202405,LDW,-60.7,Straight,N/A
20251219-202437,LDW,-65.9,Curving Right,N/A
20251219-202440,LDW,-70.2,Curving Right,N/A
20251219-202513,LDW,-65.9,Curving Right,N/A
20251219-202516,LDW,-67.1,Curving Right,N/A
20251219-202548,LDW,-65.9,Curving Right,N/A
20251219-202551,LDW,-67.1,Curving Right,N/A
20251219-202624,LDW,-65.9,Curving Right,N/A
20251219-202627,LDW,-67.1,Curving Right,N/A
20251219-202659,LDW,-65.9,Curving Right,N/A
20251219-202702,LDW,-67.1,Curving Right,N/A
20251219-202734,LDW,-65.9,Curving Right,N/A
20251219-202737,LDW,-70.2,Curving Right,N/A
20251219-202810,LDW,-65.9,Curving Right,N/A
20251219-202813,LDW,-67.1,Curving Right,N/A
20251219-202845,LDW,-65.9,Curving Right,N/A
20251219-202848,LDW,-67.1,Curving Right,N/A
20251219-202921,LDW,-65.9,Curving Right,N/A
20251219-202924,LDW,-67.1,Curving Right,N/A
20251219-202956,LDW,-65.9,Curving Right,N/A
